protein,condition,light,co2_concentration,mean_intensity,mean_mass_fraction_norm,sd_intensity,Process,Pathway,Protein,Process.abbr,Pathway.abbr
sll0005,Light-0100,100,1,5147207.4995425,0.0002093428,3562445.72768826,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0005,Light-0200,200,1,7607508.82273,0.0003719332,2808939.77399632,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0005,Light-0300,300,1,5073025.3429725,0.0001637409,2415499.21499332,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0005,Light-1000,1000,1,4926601.96604,0.0001659723,2470852.50347792,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0006,CO2-0-15,300,0.15,5064338.83142629,0.0001623176,452686.738830593,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,CO2-0-2,300,0.2,5461285.90371613,0.0001749637,246427.521358495,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,CO2-0-3,300,0.3,5641505.36248942,0.0001786518,297529.865081481,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,CO2-0-5,300,0.5,6011392.13615703,0.0001667531,660707.873228545,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,CO2-1-0,300,1,8789203.94738229,0.0002440799,335559.373863755,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,Light-0060,60,1,5499031.82546175,0.0004587727,1989192.2197164,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,Light-0100,100,1,4077328.07530515,0.0003591624,2030604.08483548,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,Light-0200,200,1,3903983.42311814,0.0003440992,745170.807240207,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,Light-0300,300,1,2863495.6294152,0.000253028,480193.129877587,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0006,Light-1000,1000,1,4713354.07806676,0.0003757773,1847036.32539365,Amino acid biosynthesis,Aspartate family,putative aminotransferase,AminoAcids,Aspartate family
sll0007,CO2-0-15,300,0.15,1048516.37173625,0.0000766519,68598.7236465914,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,CO2-0-2,300,0.2,1051319.631886,0.000075572,64565.6189790035,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,CO2-0-3,300,0.3,1049260.72363125,0.0000746004,68941.2706095714,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,CO2-0-5,300,0.5,1096885.4035435,0.0000715203,126910.268908356,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,CO2-1-0,300,1,1505669.24406225,0.0000820196,119972.708170053,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,Light-0060,60,1,2961411.09004123,0.0001776761,1306519.68531483,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,Light-0100,100,1,2172559.279971,0.0001224399,824226.437751115,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,Light-0200,200,1,1635728.36157582,0.0000842853,530982.366699911,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,Light-0300,300,1,1810217.59973449,0.0000831276,710386.726285042,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0007,Light-1000,1000,1,1902390.756123,0.0000930031,1091724.9285983,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0016,CO2-0-15,300,0.15,2549213.33138247,0.0001367451,345643.102895873,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,CO2-0-2,300,0.2,3320499.18289127,0.0001697346,572597.278374745,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,CO2-0-3,300,0.3,4363336.695091,0.0002146769,318142.989948227,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,CO2-0-5,300,0.5,5303518.86023968,0.0002322651,900052.49163885,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,CO2-1-0,300,1,6119469.99384481,0.0002403079,531778.34974909,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,Light-0060,60,1,2264393.97674117,0.0001411515,893331.269132107,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,Light-0100,100,1,2493193.44287343,0.0001559884,944970.339819327,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,Light-0200,200,1,3664235.61227105,0.0002333422,708661.342798168,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,Light-0300,300,1,4243587.2605686,0.0002421725,356107.343861616,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0016,Light-1000,1000,1,4097031.70531598,0.0002425258,910197.892723738,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,Envelope,Murein sacculus an
sll0017,CO2-0-15,300,0.15,10360493.4552715,0.0005268809,492024.136319488,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,CO2-0-2,300,0.2,11828219.5466967,0.0005832979,1083127.76002003,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,CO2-0-3,300,0.3,13870383.278784,0.0006668627,1100703.0021478,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,CO2-0-5,300,0.5,19846359.2090035,0.0008451282,2853986.92059485,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,CO2-1-0,300,1,32010896.1643926,0.0012106228,2828093.69990291,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,Light-0060,60,1,19357179.6660525,0.0013029542,3487062.08732646,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,Light-0100,100,1,12229843.5342229,0.0008066961,3724567.78831183,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,Light-0200,200,1,15443994.1028075,0.0010146317,3854562.51355362,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,Light-0300,300,1,20730207.5063321,0.0012242524,2880160.97996714,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0017,Light-1000,1000,1,25348412.5389174,0.0015613159,4852470.25204778,"Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin",glutamate-1-semialdehyde aminomutase,Cofactors,"Cobalamin, heme, p"
sll0018,CO2-0-15,300,0.15,83831207.7109907,0.0044364976,7535673.19742524,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,CO2-0-2,300,0.2,62519068.9990895,0.0033468278,30778949.6954774,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,CO2-0-3,300,0.3,71961153.3623104,0.0037266606,11806322.852886,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,CO2-0-5,300,0.5,30772383.827606,0.0016945964,25971964.5986383,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,CO2-1-0,300,1,6975608.1940721,0.0006909827,1079152.10531996,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,Light-0060,60,1,64621568.7345205,0.0040232052,10675835.3579362,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,Light-0100,100,1,64026764.5844419,0.0039579087,22118292.4947644,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,Light-0200,200,1,23034610.7245953,0.0011272131,11410227.0105439,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,Light-0300,300,1,18817689.669327,0.0007063789,13741244.4480712,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0018,Light-1000,1000,1,4964660.96973671,-0.0001220884,1384847.67751435,Energy metabolism,Glycolysis,"fructose-bisphosphate aldolase, class II",Energy,Glycolysis
sll0019,CO2-0-15,300,0.15,16477911.7612942,0.0006905481,1905919.43070574,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,CO2-0-2,300,0.2,17950814.4562676,0.0007401438,1727479.87198881,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,CO2-0-3,300,0.3,21695066.3513327,0.0008964753,1960011.70076584,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,CO2-0-5,300,0.5,25126124.1074177,0.000932988,3033926.86658821,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,CO2-1-0,300,1,34935533.2288797,0.001189891,3118213.7615826,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,Light-0060,60,1,12209884.0804523,0.0009383477,8925319.03919904,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,Light-0100,100,1,6661647.52323133,0.0005531217,2678388.35801315,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,Light-0200,200,1,19136319.1110256,0.0013933103,2186224.67459325,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,Light-0300,300,1,18326828.5861334,0.0012069715,3973654.90829359,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0019,Light-1000,1000,1,16796381.5350756,0.0011520735,7090122.5539819,Other categories,Other,1-deoxy-d-xylulose 5-phosphate reductoisomerase,Other,Other
sll0020,CO2-0-15,300,0.15,40951706.4946019,0.0024003285,4072741.06237317,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,CO2-0-2,300,0.2,46895899.6499504,0.002629977,2341722.79276217,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,CO2-0-3,300,0.3,48035059.6677456,0.0026429613,1776949.21245989,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,CO2-0-5,300,0.5,54015406.5895317,0.0026576002,9004577.90858156,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,CO2-1-0,300,1,64946103.628947,0.0028359756,6063492.23139541,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,Light-0060,60,1,32776618.9884791,0.0018156361,11234536.4992702,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,Light-0100,100,1,27947152.5160274,0.0014719208,14032164.2708239,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,Light-0200,200,1,46372724.4077244,0.0026981987,5531115.04792998,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,Light-0300,300,1,54279510.8735724,0.0028447911,6407381.00503813,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0020,Light-1000,1000,1,73269737.2033567,0.0041610042,17892151.5302364,Translation,"Degradation of proteins, peptides, and glycopeptides",ATP-dependent Clp protease ATPase subunit,Translat,Degradation of pro
sll0021,CO2-0-15,300,0.15,980586.727112186,0.0000806222,384564.53183433,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,CO2-0-2,300,0.2,1543571.77561316,0.0001057183,403527.665063002,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,CO2-0-3,300,0.3,1842264.45287882,0.0001180964,547419.069211269,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,CO2-0-5,300,0.5,1573865.91877452,0.0000982702,724263.744481937,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,CO2-1-0,300,1,1268978.2812784,0.0000805199,458559.031560644,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,Light-0060,60,1,1992070.50646875,0.0001036005,616263.585297938,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,Light-0100,100,1,1911028.605891,0.0000972861,649813.351119307,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,Light-0200,200,1,1506013.92935325,0.0000682792,423400.813691646,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,Light-0300,300,1,1879598.254402,0.0000801195,242802.253653013,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0021,Light-1000,1000,1,1643498.406005,0.0000695141,154938.701083495,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",probable exonuclease,DNArep,"DNA replication, r"
sll0022,CO2-0-15,300,0.15,815834.809265792,0.000231992,159986.222436238,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,CO2-0-2,300,0.2,1174816.96025469,0.0002477744,559091.700972003,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,CO2-0-3,300,0.3,1081494.83005899,0.0002425241,277135.884811593,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,CO2-0-5,300,0.5,1767725.78664886,0.000265446,669061.149589612,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,CO2-1-0,300,1,1588518.1858554,0.0002515183,405505.172043818,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,Light-0060,60,1,4568506.50372425,0.0001220798,2328301.62946232,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,Light-0100,100,1,11298651.608442,0.0005820226,3154607.14703747,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,Light-0200,200,1,8471834.22320675,0.000381225,523845.739352327,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,Light-0300,300,1,7209515.472019,0.0002439409,2213625.39683504,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0022,Light-1000,1000,1,8362201.1666405,0.000332659,3383130.77704519,Unknown,Unknown,unknown protein,Unknown,Unknown
sll0023,CO2-0-15,300,0.15,1602109.11126335,0.0001826872,574282.459513913,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,CO2-0-2,300,0.2,940290.539701277,0.0001500049,91447.3739706672,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,CO2-0-3,300,0.3,846226.327373728,0.0001449164,294391.418654369,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,CO2-0-5,300,0.5,793330.585314124,0.0001386925,69612.1263355362,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,CO2-1-0,300,1,1535606.29692588,0.000162727,720181.50837002,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,Light-0060,60,1,3508878.971011,0.0001358333,1227603.81942368,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,Light-0100,100,1,2768936.2976015,0.0000837447,1690269.91418431,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,Light-0200,200,1,2538525.67896575,0.0000658764,802679.186469318,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,Light-0300,300,1,4380384.44406925,0.000159305,1368947.1931221,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0023,Light-1000,1000,1,4195781.934,0.0001575748,1044787.18579072,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0026,CO2-0-15,300,0.15,283547.010991625,0.0000348433,194442.528045293,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,CO2-0-2,300,0.2,329094.53389075,0.0000366379,116186.93907826,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,CO2-0-3,300,0.3,379843.881347,0.0000386852,146067.792412866,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,CO2-0-5,300,0.5,383721.00963175,0.0000370228,148210.359775619,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,CO2-1-0,300,1,479389.895918,0.0000389533,285445.226053678,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,Light-0060,60,1,677536.34665875,0.0000254283,581444.764842521,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,Light-0100,100,1,2294071.7847225,0.0001360626,1634942.97766103,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,Light-0200,200,1,1184736.4380825,0.0000590018,459562.690669628,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,Light-0300,300,1,995673.9302175,0.0000390437,742837.75711295,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0026,Light-1000,1000,1,1012257.09702675,0.0000423308,334472.647593756,Photosynthesis and respiration,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake)",Photosynth,NADH dehydrogenase
sll0030,CO2-0-15,300,0.15,1862449.47183125,0.0001205621,298728.114003303,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,CO2-0-2,300,0.2,1760161.990742,0.0001136466,218846.446457935,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,CO2-0-3,300,0.3,1453161.68844025,0.0000981314,490893.010468074,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,CO2-0-5,300,0.5,812264.9315445,0.0000649138,278924.239440715,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,CO2-1-0,300,1,1058742.44256627,0.0000706186,298876.531146822,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,Light-0060,60,1,3701239.86938,0.0002236561,3265572.9687606,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,Light-0100,100,1,1068017.3076725,0.0000416194,498771.387588126,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,Light-0200,200,1,1608710.39131725,0.0000774027,831842.023564528,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,Light-0300,300,1,1641693.53813475,0.0000678619,1090047.90223328,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0030,Light-1000,1000,1,1172771.9730265,0.0000420835,484690.033648878,Regulatory functions,Regulatory functions,"cmp operon transcriptional regulator, LysR family protein",Regul,Regulatory functio
sll0031,CO2-0-15,300,0.15,418063.69436025,0.0000255177,46173.8666589853,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,CO2-0-2,300,0.2,617538.66258225,0.0000343281,238181.288887868,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,CO2-0-3,300,0.3,787668.961009,0.0000415968,261491.979618745,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,CO2-0-5,300,0.5,776177.71109225,0.0000373496,271704.648258864,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,CO2-1-0,300,1,735886.68712875,0.0000326476,175840.11170186,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,Light-0060,60,1,812021.157621,0.0000504525,617865.562832342,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,Light-0100,100,1,968618.6465155,0.000060887,538188.275831069,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,Light-0200,200,1,463991.8465865,0.0000258936,239830.459005246,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,Light-0300,300,1,637100.4542505,0.0000330576,149092.073278454,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0031,Light-1000,1000,1,1179744.9589645,0.0000686079,207790.317734889,Hypothetical,Hypothetical,hypothetical protein,Hypoth,Hypothetical
sll0033,CO2-0-15,300,0.15,3504761.584723,0.0001351471,544582.981999483,"Biosynthesis of cofactors, prosthetic groups, and carriers",Carotenoid,carotene isomerase,Cofactors,Carotenoid
sll0033,CO2-0-2,300,0.2,3073053.39780266,0.0001109885,999530.947139443,"Biosynthesis of cofactors, prosthetic groups, and carriers",Carotenoid,carotene isomerase,Cofactors,Carotenoid
sll0033,CO2-0-3,300,0.3,2563428.58193726,0.0000851069,214309.968259786,"Biosynthesis of cofactors, prosthetic groups, and carriers",Carotenoid,carotene isomerase,Cofactors,Carotenoid
sll0033,CO2-0-5,300,0.5,1803288.3961161,0.000041682,928674.284732553,"Biosynthesis of cofactors, prosthetic groups, and carriers",Carotenoid,carotene isomerase,Cofactors,Carotenoid
sll0033,CO2-1-0,300,1,2624677.56962632,0.0000644405,278123.849491652,"Biosynthesis of cofactors, prosthetic groups, and carriers",Carotenoid,carotene isomerase,Cofactors,Carotenoid
sll0033,Light-0060,60,1,1210644.00643525,0.0001156851,797276.950435507,"Biosynthesis of cofactors, prosthetic groups, and carriers",Carotenoid,carotene isomerase,Cofactors,Carotenoid
sll0033,Light-0100,100,1,1205015.180731,0.0001148401,396037.237913942,"Biosynthesis of cofactors, prosthetic groups, and carriers",Carotenoid,carotene isomerase,Cofactors,Carotenoid
