"","protein","condition","growthrate","mean_intensity","median_intensity","CV","CI","mean_massfraction","rel_intensity","psortB_localization","Process","Pathway","Protein","Protein.names","Length","MolWeight","Process.color","Process.abbr","Pathway.abbr","mean_mass_fraction_norm","model.category"
"51","sll0017","CO2-0-15",0.0183,10360493.4552715,10472594.0391444,0.0474904152,0.0465397517,0.0004946343,0.3268012556,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0005268809,"LHC"
"52","sll0017","CO2-0-2",0.0279,11828219.5466967,11946143.3480565,0.0915714961,0.0897384172,0.0005510514,0.3727839187,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0005832979,"LHC"
"53","sll0017","CO2-0-3",0.0452,13870383.278784,14081701.1074341,0.0793563509,0.0777677949,0.0006346161,0.4394248058,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0006668627,"LHC"
"54","sll0017","CO2-0-5",0.0756,19846359.2090035,20021586.0496843,0.1438040545,0.1409253838,0.0008128817,0.6247811607,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0008451282,"LHC"
"55","sll0017","CO2-1-0",0.1003,32010896.1643926,32045758.2738173,0.0883478452,0.0865792974,0.0011783762,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0012106228,"LHC"
"56","sll0017","Light-0060",0.0331,19357179.6660525,19368507.3810352,0.1801430863,0.1765369806,0.0013352007,0.7802024354,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0013029542,"LHC"
"57","sll0017","Light-0100",0.0485,12229843.5342229,11046087.1163608,0.3045474603,0.2984510269,0.0008389427,0.4449586073,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0008066961,"LHC"
"58","sll0017","Light-0200",0.0639,15443994.1028075,16008098.98664,0.2495832676,0.2445871078,0.0010468782,0.6448384261,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0010146317,"LHC"
"59","sll0017","Light-0300",0.0934,20730207.5063321,19720641.8535734,0.1389354631,0.1361542519,0.001256499,0.7943871202,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0012242524,"LHC"
"60","sll0017","Light-1000",0.0961,25348412.5389174,24824976.829735,0.1914309326,0.1875988667,0.0015935625,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde aminomutase","Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",433,45.9,2,"Cofactors","Cobalamin, heme, p",0.0015613159,"LHC"
"61","sll0018","CO2-0-15",0.0183,83831207.7109907,84328307.0348488,0.0898910251,0.0880915859,0.0040022991,12.6841178223,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0044364976,"GLM"
"62","sll0018","CO2-0-2",0.0279,62519068.9990895,59150761.6866675,0.4923129885,0.4824578633,0.0029126293,8.8970745043,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0033468278,"GLM"
"63","sll0018","CO2-0-3",0.0452,71961153.3623104,71565530.253567,0.1640652255,0.1607809665,0.003292462,10.7644235924,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0037266606,"GLM"
"64","sll0018","CO2-0-5",0.0756,30772383.827606,23125156.29982,0.8440023608,0.827107115,0.0012603978,3.4783362489,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0016945964,"GLM"
"65","sll0018","CO2-1-0",0.1003,6975608.1940721,6648338.3563644,0.1547036581,0.1516067991,0.0002567841,1,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0006909827,"GLM"
"66","sll0018","Light-0060",0.0331,64621568.7345205,65782401.9095088,0.1652054502,0.1618983662,0.0044574038,12.2965403208,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0040232052,"GLM"
"67","sll0018","Light-0100",0.0485,64026764.5844419,61873364.4006645,0.3454538526,0.3385385547,0.0043921072,11.5658336889,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0039579087,"GLM"
"68","sll0018","Light-0200",0.0639,23034610.7245953,21142189.1982272,0.4953514147,0.4854354663,0.0015614116,3.952056696,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0011272131,"GLM"
"69","sll0018","Light-0300",0.0934,18817689.669327,12953150.1044002,0.7302301552,0.7156124023,0.0011405775,2.4213000425,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",0.0007063789,"GLM"
"70","sll0018","Light-1000",0.0961,4964660.96973671,5349667.48313577,0.2789410367,0.2733571929,0.0003121102,1,"Cytoplasmic","Energy metabolism","Glycolysis","fructose-bisphosphate aldolase, class II","Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",359,38.98,7,"Energy","Glycolysis",-0.0001220884,"GLM"
"91","sll0021","CO2-0-15",0.0183,980586.727112186,922614.685355612,0.3921779902,0.3843273682,4.68155e-05,0.7588193454,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",8.06222e-05,"MAI"
"92","sll0021","CO2-0-2",0.0279,1543571.77561316,1626807.57712539,0.2614246201,0.25619142,7.19117e-05,1.3379941598,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",0.0001057183,"MAI"
"93","sll0021","CO2-0-3",0.0452,1842264.45287882,1770033.55933424,0.2971446734,0.291196429,8.42897e-05,1.4557926815,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",0.0001180964,"MAI"
"94","sll0021","CO2-0-5",0.0756,1573865.91877452,1494610.35110241,0.4601813508,0.450969437,6.44636e-05,1.2292664167,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",9.82702e-05,"MAI"
"95","sll0021","CO2-1-0",0.1003,1268978.2812784,1215855.51418241,0.3613608194,0.3541270957,4.67133e-05,1,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",8.05199e-05,"MAI"
"96","sll0021","Light-0060",0.0331,1992070.50646875,1975557.908237,0.30935832,0.3031655828,0.0001374071,1.2386966213,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",0.0001036005,"MAI"
"97","sll0021","Light-0100",0.0485,1911028.605891,1808885.164597,0.3400332936,0.3332265045,0.0001310927,1.1341909708,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",9.72861e-05,"MAI"
"98","sll0021","Light-0200",0.0639,1506013.92935325,1372832.64195,0.2811400382,0.2755121747,0.0001020858,0.8607812245,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",6.82792e-05,"MAI"
"99","sll0021","Light-0300",0.0934,1879598.254402,1951251.343593,0.1291777395,0.1265918585,0.0001139262,1.2234561369,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",8.01195e-05,"MAI"
"100","sll0021","Light-1000",0.0961,1643498.406005,1594868.246345,0.0942737155,0.0923865435,0.0001033208,1,"Cytoplasmic","DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair","probable exonuclease","Nuclease SbcCD subunit D",416,45.95,6,"DNArep","DNA replication, r",6.95141e-05,"MAI"
"151","sll0033","CO2-0-15",0.0183,3504761.584723,3444297.74949844,0.1553837455,0.1522732725,0.0001673256,1.2951759856,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",0.0001351471,"MAI"
"152","sll0033","CO2-0-2",0.0279,3073053.39780266,3255137.63116011,0.3252566154,0.318745626,0.000143167,1.224045189,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",0.0001109885,"MAI"
"153","sll0033","CO2-0-3",0.0452,2563428.58193726,2577810.21915133,0.0836028629,0.0819293001,0.0001172854,0.9693464776,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",8.51069e-05,"MAI"
"154","sll0033","CO2-0-5",0.0756,1803288.3961161,1725102.04215478,0.514989331,0.5046802706,7.38604e-05,0.6486984867,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",4.1682e-05,"MAI"
"155","sll0033","CO2-1-0",0.1003,2624677.56962632,2659327.98918377,0.1059649584,0.103843751,9.66189e-05,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",6.44405e-05,"MAI"
"156","sll0033","Light-0060",0.0331,1210644.00643525,1164272.01755,0.6585560629,0.6453730825,8.35066e-05,1.8718262852,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",0.0001156851,"MAI"
"157","sll0033","Light-0100",0.0485,1205015.180731,1309714.72659,0.3286574678,0.3220784001,8.26616e-05,2.1056577968,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",0.0001148401,"MAI"
"158","sll0033","Light-0200",0.0639,561663.5292825,507355.0025315,0.447547817,0.4385888013,3.80726e-05,0.8156860384,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",7.02511e-05,"MAI"
"159","sll0033","Light-0300",0.0934,585706.35197325,648530.011053,0.3287834653,0.3222018754,3.55008e-05,1.042656272,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",6.76793e-05,"MAI"
"160","sll0033","Light-1000",0.0961,651946.57331875,621997.899458,0.1673536351,0.1640035487,4.09855e-05,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Carotenoid","carotene isomerase","Sll0033 protein",501,55.78,2,"Cofactors","Carotenoid",7.31639e-05,"MAI"
"181","sll0037","CO2-0-15",0.0183,506761.253610995,498657.69368934,0.2362670218,0.2315374267,2.4194e-05,0.3596342907,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",5.73703e-05,"LHC"
"182","sll0037","CO2-0-2",0.0279,693449.157552658,660296.838539283,0.210616763,0.206400635,3.23063e-05,0.4762092076,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",6.54826e-05,"LHC"
"183","sll0037","CO2-0-3",0.0452,702353.149913183,667715.254785985,0.2411925993,0.236364404,3.2135e-05,0.4815594045,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",6.53113e-05,"LHC"
"184","sll0037","CO2-0-5",0.0756,676283.438030526,658026.339910663,0.4673958837,0.4580395493,2.76997e-05,0.4745717132,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",6.0876e-05,"LHC"
"185","sll0037","CO2-1-0",0.1003,1355062.62539951,1386568.81888751,0.0886429155,0.0868684609,4.98822e-05,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",8.30585e-05,"LHC"
"186","sll0037","Light-0060",0.0331,875991.1193275,808152.3735365,0.246774774,0.2418348347,6.04233e-05,0.3145314197,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",2.72469e-05,"LHC"
"187","sll0037","Light-0100",0.0485,1348913.8477005,1370091.072115,0.3637759034,0.3564938346,9.25328e-05,0.5332369293,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",5.93565e-05,"LHC"
"188","sll0037","Light-0200",0.0639,1838215.41740625,1873907.57767,0.2549065678,0.2498038462,0.0001246043,0.729321388,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",9.1428e-05,"LHC"
"189","sll0037","Light-0300",0.0934,1897941.5284325,1903209.238145,0.2452529041,0.2403434296,0.000115038,0.7407255405,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",8.18617e-05,"LHC"
"190","sll0037","Light-1000",0.0961,2464482.71268125,2569385.196125,0.353843805,0.346760557,0.0001549331,1,"Cytoplasmic","Biosynthesis of cofactors, prosthetic groups, and carriers","Cobalamin, heme, phycobilin and porphyrin","xfp xylulose-5-phosphate/fructose-6-phosphate phosphoketolase","Sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXL)",336,38.35,2,"Cofactors","Cobalamin, heme, p",0.0001217567,"LHC"
"211","sll0041","CO2-0-15",0.0183,12338636.1974326,12363305.1239181,0.0211113106,0.0206887042,0.0005890755,1.8764597344,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0005971868,"MAI"
"212","sll0041","CO2-0-2",0.0279,11674307.4229099,11595169.1996419,0.0470141842,0.0460730539,0.0005438809,1.7598747179,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0005519922,"MAI"
"213","sll0041","CO2-0-3",0.0452,10264225.9569201,10276381.818684,0.0317136683,0.0310788238,0.0004696225,1.5597137258,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0004777338,"MAI"
"214","sll0041","CO2-0-5",0.0756,8629294.38975755,8759513.59425458,0.0933687603,0.0914997037,0.000353445,1.3294887077,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0003615563,"MAI"
"215","sll0041","CO2-1-0",0.1003,6391065.04099741,6588633.31688294,0.1087400064,0.1065632481,0.0002352661,1,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0002433774,"MAI"
"216","sll0041","Light-0060",0.0331,4163123.74190108,4039410.35497599,0.294468187,0.2885735206,0.0002871599,0.9735927081,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0002790486,"MAI"
"217","sll0041","Light-0100",0.0485,3191490.38910487,3248838.22768102,0.1751748544,0.1716682028,0.0002189298,0.7830462692,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0002108185,"MAI"
"218","sll0041","Light-0200",0.0639,4771310.49967912,4936817.70858707,0.1175314829,0.1151787368,0.0003234255,1.1898889441,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0003153142,"MAI"
"219","sll0041","Light-0300",0.0934,4251052.61352319,4113932.11311692,0.3114646946,0.3052297919,0.0002576647,0.9915542009,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0002495534,"MAI"
"220","sll0041","Light-1000",0.0961,3936509.14919239,4148973.50967142,0.3185422586,0.3121656772,0.000247474,1,"CytoplasmicMembrane","Cellular processes","Chemotaxis","phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein","Putative methyl-accepting chemotaxis protein sll0041",1000,108.36,4,"CellProc","Chemotaxis",0.0002393627,"MAI"
